rank,pool,mode,horizon,strategy,components,threshold,signals,win_rate,average_return,median_return,profit_factor,worst_return,best_return,robust_mean,score,target_89_gap,meets_89
20,WINNERS_20D,CONSENSUS,20,Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,2,1,2317,0.5757444971946483,0.03326630067939285,0.016801221907047914,1.627503827548669,-0.9834088927637314,6.198935462408517,0.016983498510003053,91.29595651189626,0.0,True
21,CROSS_10D_20D,OR,20,10D:Secondary: Breakdown + 50D Support + 20D:Reversal: 50D Support + RSI + Higher Low,2,1,2317,0.5757444971946483,0.03326630067939285,0.016801221907047914,1.627503827548669,-0.9834088927637314,6.198935462408517,0.016983498510003053,91.29595651189626,0.0,True
22,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + RSI + Higher Low + 20D:Secondary: Breakdown + 50D Support,2,1,2317,0.5757444971946483,0.03326630067939285,0.016801221907047914,1.627503827548669,-0.9834088927637314,6.198935462408517,0.016983498510003053,91.29595651189626,0.0,True
23,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Hammer + Reversal: 50D Support + RSI + Higher Low,4,2,2546,0.605655930871956,0.03593043767431342,0.009831327584573057,1.917777700838928,-0.9030172413793103,7.915789473684212,0.016041235717088796,89.4044224762464,0.0,True
24,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume + Reversal: 50D Support + RSI + Higher Low,4,2,3226,0.6007439553626782,0.02934635429231447,0.009968944099378874,1.7168572689631674,-0.9846058534501175,6.198935462408517,0.01471012036236183,88.50929834630551,0.4907016536944866,False
25,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,3,1,3313,0.5843646242076668,0.029856081588570307,0.01211160431198488,1.6511814150049773,-0.9834088927637314,6.198935462408517,0.015961052001890543,88.44859627001769,0.5514037299823116,False
26,CROSS_10D_20D,AND,20,10D:Reversal: 50D Support + RSI + 20D:Reversal: Bottom Reclaim + Support,2,2,1249,0.5684547638110489,0.0551880273965472,0.025514801221897532,1.6403879653556923,-0.9943790849673203,7.915789473684212,0.011499029582395941,88.36673282197177,0.633267178028234,False
27,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: 50D Support + Volume + Reversal: 50D Support + RSI + Higher Low,3,2,1585,0.6132492113564669,0.030626189873330698,0.007492711370262306,1.9974037503143225,-0.9030172413793103,6.198935462408517,0.016990514083035375,88.36241908997326,0.6375809100267418,False
28,WINNERS_20D,CONSENSUS,20,Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume + Reversal: 50D Support + RSI + Higher Low,3,2,1004,0.5766932270916335,0.03273770430334233,0.019264514024788015,1.49944022298868,-0.9846058534501175,6.198935462408517,0.010141380880044647,88.16062941037475,0.839370589625247,False
29,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: 50D Support + Volume + Reversal: 50D Support + RSI + Higher Low,4,2,2230,0.614798206278027,0.0284930084610898,0.007141110977583076,2.0281747112709843,-0.9030172413793103,6.198935462408517,0.016864664787519034,88.00433182382659,0.9956681761734103,False
30,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Hammer,3,2,2294,0.5980819529206626,0.03645435608635682,0.008535939037075724,1.9375467871242436,-0.9030172413793103,7.915789473684212,0.015225080934432159,87.501090465408,1.498909534592002,False
31,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: 50D Support + Hammer + Reversal: 50D Support + RSI + Higher Low,4,2,1154,0.6117850953206239,0.03475159918442568,0.006989099987821157,2.0146375053933445,-0.9030172413793103,6.198935462408517,0.016038599613269852,87.27077470081825,1.7292252991817492,False
32,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support + Reversal: 50D Support + Hammer,4,2,2345,0.5965884861407249,0.03718781663759623,0.008491508491508482,1.9504045534775454,-0.9030172413793103,7.915789473684212,0.015242911545023911,87.2322293841868,1.7677706158132054,False
33,WINNERS_20D,CONSENSUS,20,Reversal: Bottom Reclaim + Support + Reversal: 50D Support + RSI + Higher Low,2,1,4661,0.5756275477365372,0.033950562469755065,0.016759776536312776,1.5472193016194196,-0.9994049504950495,7.915789473684212,0.011593153234686284,87.20262195100548,1.797378048994517,False
34,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + RSI + Higher Low + 20D:Reversal: Bottom Reclaim + Support,2,1,4661,0.5756275477365372,0.033950562469755065,0.016759776536312776,1.5472193016194196,-0.9994049504950495,7.915789473684212,0.011593153234686284,87.20262195100548,1.797378048994517,False
35,CROSS_10D_20D,OR,20,10D:Reversal: Bottom Reclaim + Support + 20D:Reversal: 50D Support + RSI + Higher Low,2,1,4661,0.5756275477365372,0.033950562469755065,0.016759776536312776,1.5472193016194196,-0.9994049504950495,7.915789473684212,0.011593153234686284,87.20262195100548,1.797378048994517,False
36,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: 50D Support + Hammer + Reversal: 50D Support + RSI + Higher Low,3,2,1103,0.6155938349954669,0.03311351614303409,0.007056922674819166,1.988059045669951,-0.9030172413793103,6.198935462408517,0.015506799921421977,86.92279194718085,2.0772080528191452,False
37,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Hammer,4,2,3051,0.6001311045558834,0.0329239193429642,0.0077319587628865705,1.9225307265223819,-0.9030172413793103,7.915789473684212,0.014791056604197233,86.89226152531285,2.107738474687153,False
38,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: 50D Support + Hammer + Reversal: 50D Support + RSI + Higher Low,4,2,1771,0.6149068322981367,0.028769661398010123,0.006402561024409836,2.0054724133954234,-0.9030172413793103,6.198935462408517,0.015414687834318149,86.362936644046,2.637063355953998,False
39,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume,3,2,2993,0.5947210157033077,0.02939608438240013,0.008581034105086704,1.7225831691237594,-0.9846058534501175,6.198935462408517,0.014271654270735843,86.25968556575152,2.740314434248475,False
40,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume,4,2,3689,0.5971808078069938,0.0279588640169533,0.008000000000000007,1.7380565863538466,-0.9846058534501175,6.198935462408517,0.014174086315554519,86.16069937116485,2.8393006288351472,False
41,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: 50D Support + Volume + Reversal: Bull Engulf + Support,4,2,1922,0.6129032258064516,0.02172967781548451,0.005740893903321331,1.9947130117511462,-0.9030172413793103,1.670588235294118,0.015677216906243515,86.06358310717363,2.9364168928263723,False
42,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + RSI + Higher Low,3,1,5471,0.5806982270151709,0.03218181321727564,0.01344860710854956,1.5705013760067916,-0.9994049504950495,7.915789473684212,0.011883499181310235,85.78211755325667,3.2178824467433316,False
43,WINNERS_20D,AND,20,Reversal: 50D Support + Bull Engulf,1,1,1016,0.6053149606299213,0.022246801073499297,0.006581261475987588,1.7538210714733231,-0.6747559274755928,1.670588235294118,0.014373711811373478,85.71622996552078,3.2837700344792182,False
44,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: 50D Support + Volume,3,2,1774,0.6082299887260428,0.020800785259085016,0.005283046044873507,2.0005392335883623,-0.9030172413793103,0.9121212121212121,0.015402943380364124,85.51449206892822,3.48550793107178,False
45,WINNERS_20D,CONSENSUS,20,Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,3,1,6442,0.5695436199937908,0.03192162012902935,0.014764172285726906,1.5377782804043298,-0.9994049504950495,7.915789473684212,0.012204021932973257,85.15008232965691,3.849917670343089,False
46,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume + Reversal: Bull Engulf + Support,4,2,3338,0.597663271420012,0.027580881539217023,0.00765782866278697,1.7176266026219527,-0.9846058534501175,6.198935462408517,0.012979671359474435,85.08867025336471,3.911329746635289,False
47,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: 50D Support + Volume + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,4,2,1904,0.6118697478991597,0.026305572075573644,0.006080759221808174,1.9309004076753893,-0.9030172413793103,6.198935462408517,0.01385009151873247,84.94813805540548,4.0518619445945205,False
48,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Hammer + Reversal: Bull Engulf + Support,4,2,2670,0.599625468164794,0.03246709033449771,0.006989099987821157,1.8951730727177831,-0.9030172413793103,7.915789473684212,0.012924919365047742,84.87309254211733,4.126907457882666,False
49,WINNERS_10D,CONSENSUS,10,Reversal: 50D Support + Higher Low + Reversal: 50D Support + RSI + Higher Low + Reversal: Bottom Reclaim + Support,3,2,2051,0.5841053144807411,0.031504505884945806,0.010594467333725932,1.9544531408062062,-0.98789313904068,9.459081836327346,0.012715713896517341,84.83352166947265,4.1664783305273545,False
50,WINNERS_10D,CONSENSUS,10,Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low + Reversal: Bottom Reclaim + Support,4,2,2051,0.5841053144807411,0.031504505884945806,0.010594467333725932,1.9544531408062062,-0.98789313904068,9.459081836327346,0.012715713896517341,84.83352166947265,4.1664783305273545,False
51,WINNERS_20D,CONSENSUS,20,Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,4,2,1151,0.580364900086881,0.03072064434672187,0.014423076923076872,1.5033223720387303,-0.9846058534501175,6.198935462408517,0.009562062177185476,84.71633767301026,4.283662326989742,False
52,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support,3,1,12071,0.6079860823461188,0.02163564385375169,0.0068212824010915885,1.7514646523235884,-0.9834088927637314,6.198935462408517,0.0127849855143514,84.70470093658224,4.295299063417758,False
53,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,4,1,12071,0.6079860823461188,0.02163564385375169,0.0068212824010915885,1.7514646523235884,-0.9834088927637314,6.198935462408517,0.0127849855143514,84.70470093658224,4.295299063417758,False
54,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support,2,1,11735,0.6083510864933959,0.021507217097313083,0.0067542761785566174,1.7603700274479128,-0.9834088927637314,6.198935462408517,0.012747534295542895,84.62635785557464,4.373642144425361,False
55,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,3,1,11735,0.6083510864933959,0.021507217097313083,0.0067542761785566174,1.7603700274479128,-0.9834088927637314,6.198935462408517,0.012747534295542895,84.62635785557464,4.373642144425361,False
