rule,horizon_days,signals,win_rate,loss_rate,average_return,median_return,p10_return,p25_return,p75_return,p90_return,best_return,worst_return,std_return,average_ex_top_1pct,top_1pct_profit_contribution,profit_factor,robustness_score
Reversal: 50D Support + Bull Engulf,20,1125,0.6151111111111112,0.3768888888888889,0.0203414699756529,0.0054600241060667,-0.0867043621189586,-0.0159161490683229,0.0589595375722542,0.1339071496361912,1.670588235294118,-0.6747559274755928,0.1380478555892392,0.0128131287671845,0.1601601561847725,1.7411491226136515,76.47643506504735
Reversal: 50D Support + Higher Low,20,12357,0.6394756008739986,0.3487092336327587,0.0209755898394528,0.0048732943469786,-0.0591458427987279,-0.0077519379844961,0.0365853658536585,0.1125794351111213,6.468879668049792,-0.9030172413793104,0.1970737727725377,0.0108833354308995,0.2461323616702354,2.024803849999104,73.47746363560312
Reversal: Bottom Reclaim + Support,20,4621,0.5684916684700281,0.4258818437567626,0.0314493493955289,0.0124999999999999,-0.2176165803108808,-0.0718711276332094,0.1052501238236751,0.2394230769230769,7.915789473684212,-0.9994049504950496,0.353847577929381,0.0088191882786484,0.239301324837032,1.4953811697956303,73.18022015589443
Secondary: Breakdown + 50D Support,20,1880,0.551063829787234,0.4452127659574468,0.024276400896439,0.0084426476131009,-0.1765862463536882,-0.0534371956125863,0.1007682694474606,0.2162310320607559,2.717595146166575,-0.9834088927637314,0.2196756333495835,0.0123870254130631,0.1566609449732543,1.4635285343217077,70.04097169706971
Reversal: 50D Support + Volume,20,6180,0.6064724919093851,0.381715210355987,0.0139203815312936,0.0044834200058191,-0.126811741454181,-0.0181162891798969,0.0531039031582214,0.147242737564887,6.810090328266138,-0.9846058534501176,0.2077148032192479,0.0030801804869166,0.2042706480331434,1.3542416163870286,60.41847794220547
Reversal: 50D Support + Hammer,20,2256,0.598404255319149,0.3834219858156028,0.0177209732627091,0.0034748078586371,-0.1125594253549597,-0.013896685637689,0.0281510262968062,0.1327723309807428,7.915789473684212,-0.921132075471698,0.2845361811492612,-0.000211526599118,0.3270521030804156,1.477610081283811,57.7610520375049
Reversal: Bull Engulf + Support,20,1174,0.5783645655877342,0.4105621805792163,0.0092894744665919,0.0029565646594273,-0.0646016740305224,-0.0146204926356409,0.0305980725623582,0.0951475319617306,1.670588235294118,-0.6259314456035767,0.1132698552404716,0.0031453089696102,0.1948893987468154,1.4149279160855737,56.5808534577741
Reversal: 50D Support + RSI + Higher Low,20,545,0.6458715596330276,0.3504587155963303,0.0544262811995466,0.0325443786982249,-0.2049169614964041,-0.0508720930232557,0.1335578002244668,0.2459804847340261,6.198935462408517,-0.9030172413793104,0.4266711768547301,0.0259669982980457,0.257862852335644,1.9571383628712296,54.50000000000001
