rule,horizon_days,signals,win_rate,loss_rate,average_return,median_return,p10_return,p25_return,p75_return,p90_return,best_return,worst_return,std_return,average_ex_top_1pct,top_1pct_profit_contribution,profit_factor,robustness_score
Reversal: 50D Support + Bull Engulf,10,1261,0.5979381443298969,0.3862014274385408,0.0130564584318319,0.0029354207436398,-0.0514285714285714,-0.0095356550580431,0.0363636363636361,0.0817120622568092,1.552941176470588,-0.6900149031296572,0.0960891538750808,0.0077631810214527,0.1755713997993934,1.745521945472439,67.29575440877197
Reversal: 50D Support + Higher Low,10,14192,0.5958990980834273,0.381130214205186,0.0133848853780965,0.0022725972540046,-0.0428555502468547,-0.0074943977169352,0.0209287780090682,0.0727194812544846,9.459081836327346,-0.98789313904068,0.1906581486450236,0.0047821510191493,0.3021775801340878,1.8781880264587123,62.5668023751792
Secondary: Breakdown + 50D Support,10,2150,0.5409302325581395,0.4483720930232558,0.0185458897745586,0.0047272725795233,-0.1173349251329082,-0.0369695672386602,0.062776984504733,0.1479693097206883,3.9537037037037033,-0.8990566037735849,0.1866080647336047,0.0072246579312906,0.2080158117271514,1.5120598382861836,58.91313375332654
Reversal: 50D Support + RSI + Higher Low,10,609,0.5845648604269293,0.4088669950738916,0.0543605727114704,0.0161290322580645,-0.122596371882086,-0.0370407473265045,0.0859188544152744,0.1957132099008904,9.459081836327346,-0.7861538461538462,0.5020524294057502,0.0196774870291315,0.3710847766774484,2.371844184349395,56.73040097942102
Reversal: 50D Support + Hammer,10,2652,0.5731523378582202,0.3963046757164404,0.0142096755831017,0.0019323671497584,-0.0794849282996781,-0.0107028940886699,0.0195440992618124,0.0912975923473936,6.290448343079922,-0.7945071113290829,0.2133336217314378,0.0010002787860843,0.3370749645727979,1.5682114770219715,53.7081052754005
Reversal: Bottom Reclaim + Support,10,5354,0.5444527456107583,0.4475158759805753,0.020587967998924,0.0067457253171538,-0.1526760806785647,-0.051739313725368,0.0690548508129356,0.1584271784127919,13.97695852534562,-0.999015561015561,0.3315459523725584,0.0017026931988755,0.2831374146007644,1.445901167272894,53.53423942966591
Reversal: 50D Support + Volume,10,7030,0.5914651493598863,0.3846372688477951,0.0081697356670563,0.002431315485322,-0.0864877852773934,-0.0124611441664597,0.030435843226541,0.0990109783557246,5.148387096774193,-0.999015561015561,0.1506358348272615,-0.0001815537120131,0.2312275904207515,1.292406724746171,51.85697487355985
Reversal: 50D Support + RSI,10,4413,0.5320643553138454,0.4613641513709495,0.0324752607012469,0.0080128205128204,-0.2092300474379866,-0.0790190735694822,0.0845070422535212,0.1999650959860384,13.97695852534562,-0.9990229231019346,0.4789731958967047,-0.0014743567680329,0.3528194355703505,1.5097609076198326,51.690213065128056
