horizon,strategy,signals,win_rate,average_return,median_return,profit_factor,worst_return,best_return,robust_mean,score
10,Reversal: 50D Support + Bull Engulf,1139,0.5899912203687445,0.013813882241635102,0.004637681159420204,1.7277336386945668,-0.6900149031296572,1.552941176470588,0.008230941687993334,71.79721943865268
10,Reversal: 50D Support + Higher Low,11188,0.5857168394708616,0.013112882408694054,0.003106796585057414,1.7274544569498285,-0.98789313904068,9.459081836327346,0.006253895431025085,67.75287466589953
10,Secondary: Breakdown + 50D Support,2020,0.5445544554455446,0.020463963224428026,0.006781951442968448,1.5589631595443127,-0.8990566037735849,3.9537037037037033,0.008667592130673718,72.3462335878224
10,Reversal: 50D Support + RSI + Higher Low,596,0.5822147651006712,0.0555625249475863,0.014692597996069257,2.433745792328856,-0.7861538461538462,9.459081836327346,0.021166662111616847,55.460924637576284
10,Reversal: 50D Support + Hammer,2101,0.5578296049500238,0.018665020433147127,0.00217104753043329,1.6608652481507586,-0.7945071113290829,6.290448343079922,0.003333178943851531,65.7647911138647
10,Reversal: Bottom Reclaim + Support,5073,0.547604967474867,0.02318241734215144,0.008645533141210304,1.506450098099767,-0.999015561015561,13.976958525345621,0.0036490772008951813,70.48845233572361
10,Reversal: 50D Support + Volume,5511,0.5790237706405371,0.010247060610340246,0.003842459173871271,1.314274464585417,-0.999015561015561,5.148387096774193,0.0011101592308307036,57.370060597046525
10,Reversal: 50D Support + RSI,4250,0.5341176470588235,0.03477397921408415,0.008318868695119441,1.5631269820155618,-0.9990229231019346,13.976958525345621,0.0009598305579162961,65.97863228291405
20,Reversal: 50D Support + Bull Engulf,1016,0.6053149606299213,0.022246801073499297,0.006581261475987588,1.7538210714733231,-0.6747559274755928,1.670588235294118,0.014373711811373478,85.71622996552078
20,Reversal: 50D Support + Higher Low,9954,0.6181434599156118,0.020593900686888725,0.006555598133418328,1.8587188020585457,-0.9030172413793103,6.198935462408517,0.012847370764225388,84.55222667323278
20,Reversal: Bottom Reclaim + Support,4402,0.5697410268059973,0.03418086279000755,0.015229933564747555,1.5409426957745374,-0.9994049504950495,7.915789473684212,0.010895709858225994,84.55107036822969
20,Secondary: Breakdown + 50D Support,1781,0.553621560920831,0.02661173789987573,0.01145833333333357,1.5084877662914922,-0.9834088927637314,2.717595146166575,0.014440211974562196,81.69416913439366
20,Reversal: 50D Support + Volume,4961,0.5837532755492845,0.0174287260140586,0.006115187903046548,1.3912501524622716,-0.9846058534501175,6.810090328266138,0.006000287101885234,71.99504740034271
20,Reversal: 50D Support + Hammer,1824,0.5641447368421053,0.021458624269261446,0.0035455011018342697,1.5031893474742684,-0.9211320754716981,7.915789473684212,0.0010202906751040114,67.44846663972126
20,Reversal: Bull Engulf + Support,994,0.5563380281690141,0.009613488649878599,0.002649500413259287,1.3730959912613718,-0.6259314456035767,1.670588235294118,0.0030919289972301785,54.20033359872929
20,Reversal: 50D Support + RSI + Higher Low,536,0.6492537313432836,0.05537782364640779,0.03262732953602843,2.001975059672249,-0.9030172413793103,6.198935462408517,0.02670142510215032,53.6
