pool,mode,horizon,strategy,components,threshold,signals,win_rate,average_return,median_return,profit_factor,worst_return,best_return,robust_mean,score
WINNERS_20D,AND,20,Reversal: 50D Support + Bull Engulf,1,1,1016,0.6053149606299213,0.022246801073499297,0.006581261475987588,1.7538210714733231,-0.6747559274755928,1.670588235294118,0.014373711811373478,85.71622996552078
WINNERS_20D,AND,20,Reversal: 50D Support + Higher Low,1,1,9954,0.6181434599156118,0.020593900686888725,0.006555598133418328,1.8587188020585457,-0.9030172413793103,6.198935462408517,0.012847370764225388,84.55222667323278
WINNERS_20D,AND,20,Reversal: Bottom Reclaim + Support,1,1,4402,0.5697410268059973,0.03418086279000755,0.015229933564747555,1.5409426957745374,-0.9994049504950495,7.915789473684212,0.010895709858225994,84.55107036822969
WINNERS_20D,AND,20,Secondary: Breakdown + 50D Support,1,1,1781,0.553621560920831,0.02661173789987573,0.01145833333333357,1.5084877662914922,-0.9834088927637314,2.717595146166575,0.014440211974562196,81.69416913439366
WINNERS_20D,AND,20,Reversal: 50D Support + Volume,1,1,4961,0.5837532755492845,0.0174287260140586,0.006115187903046548,1.3912501524622716,-0.9846058534501175,6.810090328266138,0.006000287101885234,71.99504740034271
WINNERS_20D,AND,20,Reversal: 50D Support + Hammer,1,1,1824,0.5641447368421053,0.021458624269261446,0.0035455011018342697,1.5031893474742684,-0.9211320754716981,7.915789473684212,0.0010202906751040114,67.44846663972126
WINNERS_20D,AND,20,Reversal: Bull Engulf + Support,1,1,994,0.5563380281690141,0.009613488649878599,0.002649500413259287,1.3730959912613718,-0.6259314456035767,1.670588235294118,0.0030919289972301785,54.20033359872929
WINNERS_20D,AND,20,Reversal: 50D Support + RSI + Higher Low,1,1,536,0.6492537313432836,0.05537782364640779,0.03262732953602843,2.001975059672249,-0.9030172413793103,6.198935462408517,0.02670142510215032,53.6
WINNERS_20D,AND,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low,2,2,680,0.6102941176470589,0.020332478777952405,0.005365059964651975,1.9620646370973522,-0.631116504854369,0.9121212121212121,0.015104794741039373,58.03962589990259
WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low,2,1,10290,0.6173955296404277,0.020774378207867643,0.006616257088846833,1.8405122594603975,-0.9030172413793103,6.198935462408517,0.012861371957399224,84.60822178468453
WINNERS_20D,AND,20,Reversal: 50D Support + Bull Engulf + Reversal: Bottom Reclaim + Support,2,2,193,0.5803108808290155,0.0232287760693633,0.009674234945705962,1.4559085918021122,-0.5652173913043479,1.670588235294118,0.01464877888590104,16.25559555575524
WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: Bottom Reclaim + Support,2,1,5225,0.576267942583732,0.03226483332266056,0.012593283582089443,1.5651435431786962,-0.9994049504950495,7.915789473684212,0.011298914542976128,83.96380569108786
WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Secondary: Breakdown + 50D Support,2,1,2797,0.5723989989274222,0.025026190593619574,0.008530805687203769,1.5682000328601,-0.9834088927637314,2.717595146166575,0.014322958759005926,82.54015648922763
WINNERS_20D,AND,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Volume,2,2,148,0.5743243243243243,0.02703701955416645,0.005050908872845095,2.08607395386338,-0.5445829338446788,0.6345467523197716,0.02290430028365213,12.507317551552472
WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Volume,2,1,5829,0.5877509006690684,0.018024563519026142,0.006275083612039989,1.4248597145501976,-0.9846058534501175,6.810090328266138,0.007000216129819216,74.68718367943524
